"Season","Team","Conference","StatName","StatValue"
"2023","Central Michigan","Mid-American","rushingYards","1914"
"2023","Pittsburgh","ACC","sacks","30"
"2023","Navy","American Athletic","passCompletions","102"
"2023","Florida","SEC","passAttempts","389"
"2023","Memphis","American Athletic","possessionTime","24285"
"2023","Purdue","Big Ten","thirdDownConversions","63"
"2023","Pittsburgh","ACC","turnovers","21"
"2023","Toledo","Mid-American","fourthDownConversions","13"
"2023","Georgia State","Sun Belt","fourthDowns","19"
"2023","Miami (OH)","Mid-American","passCompletions","165"
"2023","UCLA","Pac-12","rushingTDs","21"
"2023","Oregon","Pac-12","interceptionYards","58"
"2023","Florida Atlantic","American Athletic","tacklesForLoss","83"
"2023","Louisville","ACC","fumblesLost","7"
"2023","Louisiana Monroe","Sun Belt","possessionTime","19468"
"2023","Colorado","Pac-12","rushingTDs","12"
"2023","TCU","Big 12","fumblesRecovered","4"
"2023","Oregon","Pac-12","fourthDowns","25"
"2023","Utah","Pac-12","passesIntercepted","8"
"2023","Pittsburgh","ACC","passCompletions","192"
"2023","Texas A&M","SEC","kickReturns","23"
"2023","Air Force","Mountain West","rushingYards","3648"
"2023","Boston College","ACC","firstDowns","279"
"2023","Florida International","Conference USA","netPassingYards","2760"
"2023","Baylor","Big 12","penalties","49"
"2023","Florida State","ACC","interceptions","4"
"2023","Air Force","Mountain West","passingTDs","7"
"2023","UT San Antonio","American Athletic","tacklesForLoss","99"
"2023","UAB","American Athletic","fourthDownConversions","13"
"2023","Boise State","Mountain West","totalYards","6106"
"2023","Tulane","American Athletic","fumblesRecovered","11"
"2023","LSU","SEC","puntReturnTDs","0"
"2023","Miami (OH)","Mid-American","interceptionYards","130"
"2023","Iowa State","Big 12","thirdDownConversions","68"
"2023","LSU","SEC","fourthDowns","15"
"2023","Tulsa","American Athletic","kickReturns","15"
"2023","Iowa State","Big 12","passesIntercepted","16"
"2023","Tulane","American Athletic","netPassingYards","3010"
"2023","Coastal Carolina","Sun Belt","interceptionYards","283"
"2023","Virginia Tech","ACC","passesIntercepted","7"
"2023","Sam Houston State","Conference USA","rushingTDs","13"
"2023","New Mexico State","Conference USA","interceptionTDs","1"
"2023","Air Force","Mountain West","interceptions","6"
"2023","North Texas","American Athletic","puntReturnYards","50"
"2023","UTEP","Conference USA","penaltyYards","706"
"2023","Navy","American Athletic","rushingYards","2335"
"2023","Western Michigan","Mid-American","penalties","85"
"2023","Arizona State","Pac-12","netPassingYards","2524"
"2023","Louisiana Monroe","Sun Belt","interceptionYards","154"
"2023","Georgia Tech","ACC","interceptionTDs","0"
"2023","Penn State","Big Ten","puntReturnTDs","2"
"2023","Connecticut","FBS Independents","kickReturnYards","628"
"2023","Miami (OH)","Mid-American","fourthDownConversions","4"
"2023","Western Kentucky","Conference USA","interceptionYards","131"
"2023","Wake Forest","ACC","fourthDownConversions","8"
"2023","Georgia State","Sun Belt","tacklesForLoss","76"
"2023","Stanford","Pac-12","thirdDowns","183"
"2023","Northern Illinois","Mid-American","fourthDownConversions","10"
"2023","New Mexico State","Conference USA","turnovers","15"
"2023","Indiana","Big Ten","fumblesRecovered","2"
"2023","North Texas","American Athletic","rushingYards","2294"
"2023","Missouri","SEC","fumblesLost","2"
"2023","South Florida","American Athletic","puntReturnTDs","0"
"2023","Auburn","SEC","thirdDowns","166"
"2023","Buffalo","Mid-American","rushingAttempts","435"
"2023","Appalachian State","Sun Belt","rushingAttempts","534"
"2023","Arizona","Pac-12","totalYards","5824"
"2023","Texas","Big 12","kickReturnTDs","1"
"2023","Nebraska","Big Ten","rushingAttempts","478"
"2023","New Mexico State","Conference USA","netPassingYards","3206"
"2023","Houston","Big 12","passingTDs","24"
"2023","Tennessee","SEC","firstDowns","284"
"2023","UMass","FBS Independents","turnovers","17"
"2023","Kansas","Big 12","kickReturnYards","616"
"2023","Clemson","ACC","interceptionYards","244"
"2023","Boise State","Mountain West","puntReturnYards","27"
"2023","Louisiana","Sun Belt","rushingTDs","25"
"2023","Memphis","American Athletic","kickReturns","27"
"2023","Western Michigan","Mid-American","interceptionYards","2"
"2023","UT San Antonio","American Athletic","passAttempts","446"
"2023","Florida State","ACC","puntReturnTDs","0"
"2023","Colorado","Pac-12","fumblesRecovered","11"
"2023","Louisiana Monroe","Sun Belt","interceptionTDs","1"
"2023","San José State","Mountain West","thirdDowns","153"
"2023","Ole Miss","SEC","turnovers","7"
"2023","Georgia State","Sun Belt","puntReturnTDs","1"
"2023","Toledo","Mid-American","passesIntercepted","11"
"2023","Michigan","Big Ten","puntReturnTDs","0"
"2023","Illinois","Big Ten","firstDowns","244"
"2023","Kentucky","SEC","fumblesRecovered","7"
"2023","Tennessee","SEC","penaltyYards","883"
"2023","Kansas State","Big 12","thirdDowns","188"
"2023","Wake Forest","ACC","puntReturnYards","148"
"2023","Kansas State","Big 12","passCompletions","258"
"2023","Louisiana Tech","Conference USA","fourthDowns","30"
"2023","SMU","American Athletic","netPassingYards","3897"
"2023","Miami","ACC","totalYards","5605"
"2023","Iowa State","Big 12","interceptions","8"
"2023","James Madison","Sun Belt","penaltyYards","521"
"2023","Texas State","Sun Belt","puntReturnTDs","0"
"2023","Iowa State","Big 12","rushingTDs","16"
"2023","San Diego State","Mountain West","penaltyYards","528"
"2023","Northwestern","Big Ten","kickReturns","28"
"2023","Wyoming","Mountain West","games","13"
"2023","Pittsburgh","ACC","rushingYards","1223"
"2023","South Carolina","SEC","passingTDs","21"
"2023","Kentucky","SEC","tacklesForLoss","84"
"2023","San José State","Mountain West","kickReturnYards","284"
"2023","Miami (OH)","Mid-American","puntReturns","25"
"2023","Illinois","Big Ten","kickReturnYards","454"
"2023","Oklahoma","Big 12","penalties","88"
"2023","Nebraska","Big Ten","interceptionYards","71"
"2023","Arizona State","Pac-12","passAttempts","440"
"2023","Maryland","Big Ten","interceptionYards","166"
"2023","Texas Tech","Big 12","firstDowns","285"
"2023","Virginia Tech","ACC","kickReturnTDs","2"
"2023","Florida","SEC","passesIntercepted","3"
"2023","Coastal Carolina","Sun Belt","passesIntercepted","14"
"2023","Arizona","Pac-12","thirdDowns","163"
"2023","Tulsa","American Athletic","penaltyYards","519"
"2023","USC","Pac-12","firstDowns","292"
"2023","Tulane","American Athletic","thirdDowns","186"
